rok,Rzeszów,Rzeszów,Rzeszów,Rzeszów,Rzeszów,Rzeszów,Rzeszów,Lublin,Lublin,Lublin,Lublin,Lublin,Lublin,Lublin,Białystok,Białystok,Białystok,Białystok,Białystok,Białystok,Białystok
2009,19925,18874,782,214,44,11,19870,39815,38054,1352,334,54,21,39740,30059,28629,1087,286,47,10,30002
2010,21308,20231,800,222,44,11,21253,41622,39852,1361,335,54,20,41548,31264,29867,1060,280,47,10,31207
2011,21543,20476,795,219,43,10,21490,41187,39420,1359,337,53,18,41116,31339,29925,1079,280,45,10,31284
2012,22406,21390,746,216,44,10,22352,42310,40604,1291,346,50,19,42241,32410,31082,985,288,45,10,32355
2013,23703,22691,742,220,40,10,23653,43334,41625,1303,338,50,18,43266,33085,31797,961,274,42,11,33032
2014,24833,23791,779,214,37,12,24784,43450,41722,1316,345,51,16,43383,33735,32445,968,269,42,11,33682
2015,25648,24599,790,208,38,13,25597,43922,42201,1327,333,47,14,43861,34407,33126,963,267,40,11,34356
2016,26488,25429,797,211,39,12,26437,44473,42738,1345,330,46,14,44413,34843,33538,989,264,40,12,34791
2017,27604,26518,827,210,39,10,27555,45385,43648,1352,324,46,15,45324,35405,34041,1008,306,39,11,35355
2018,28034,26937,837,211,39,10,27985,45345,43670,1299,317,44,15,45286,35922,34558,1013,303,38,10,35874
2019,29344,28258,828,210,38,10,29296,46177,44575,1239,305,43,15,46119,36068,34756,994,271,37,10,36021
2020,30791,29736,797,210,38,10,30743,48079,46488,1232,302,42,15,48022,37450,36148,993,263,36,10,37404