rok,Bialystok,Bialystok,Bialystok,Bialystok,Lublin,Lublin,Lublin,Lublin,Rzesz贸w,Rzesz贸w,Rzesz贸w,Rzesz贸w
2009,30059,587,29472,23595,39815,753,39062,29455,19925,526,19399,14177
2010,31264,553,30711,24599,41622,751,40871,30878,21308,525,20783,15274
2011,31339,581,30758,24334,41187,754,40433,30205,21543,531,21012,15219
2012,32410,587,31823,24765,42310,769,41541,30582,22406,528,21878,15575
2013,33085,552,32533,25026,43334,775,42559,30980,23703,528,23175,15985
2014,33735,532,33188,25322,43450,768,42656,30571,24833,540,24266,16034
2015,34407,526,33592,25557,43922,774,42624,30341,25648,547,24695,16117
2016,34843,526,33975,25486,44473,773,42908,29966,26488,550,25481,16199
2017,35405,500,34506,25644,45385,761,43675,30273,27604,532,26439,16671
2018,35922,503,34921,26520,45345,752,43381,31236,28034,535,26717,17255
2019,36068,516,34989,26123,46177,737,44028,31645,29344,534,28086,18090
2020,37450,520,36168,26926,48079,737,45719,32903,30791,535,29406,18983